OrigCountryName,Country,CountryCode,SubContinent,SubContCode,Continent,ContCode,Develop
Jersey,Jersey,832,Northern Europe,154,Europe,150,Developed
Jordan,Jordan,400,Western Asia,145,Asia,142,Developing
Kazakhstan,Kazakhstan,398,Central Asia,143,Asia,142,Developing
Kenya,Kenya,404,Eastern Africa,14,Africa,2,Developing
Kiribati,Kiribati,296,Micronesia,57,Oceania,9,Developing
"Korea, Dem.Ppl's.Rep.",Korea North,408,Eastern Asia,30,Asia,142,Developing
"Korea, Republic of",Korea South,410,Eastern Asia,30,Asia,142,Developing
Kuwait,Kuwait,414,Western Asia,145,Asia,142,Developing
Kyrgyzstan,Kyrgyzstan,417,Central Asia,143,Asia,142,Developing
Lao People's Dem. Rep.,Lao,418,South-Eastern Asia,35,Asia,142,Developing
Latvia,Latvia,428,Northern Europe,154,Europe,150,Developed
Lebanon,Lebanon,422,Western Asia,145,Asia,142,Developing
Lesotho,Lesotho,426,Southern Africa,18,Africa,2,Developing
Liberia,Liberia,430,Western Africa,11,Africa,2,Developing
Libya,Libya,434,Northern Africa,15,Africa,2,Developing
